ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount,Profit Margin
1,David,25.0,Female,100.0,30.0,2023-01-01,Grocery,20.0,0.3
2,Eve,27.35427534588342,Female,248.95738893925656,10.0,2023-01-01,Clothing,20.0,0.040167516387472686
3,Charlie,35.0,Other,248.95738893925656,30.0,2023-01-01,Electronics,10.0,0.12050254916241807
5,Eve,27.35427534588342,Male,100.0,10.0,2023-02-15,Electronics,10.0,0.1
8,Charlie,30.0,Other,300.0,20.0,,Electronics,20.0,0.06666666666666667
11,David,30.0,Male,100.0,40.0,,Electronics,10.0,0.4
13,Eve,25.0,Male,300.0,40.0,2023-02-15,Furniture,5.0,0.13333333333333333
14,Bob,27.35427534588342,Other,300.0,10.0,2023-01-01,Electronics,5.0,0.03333333333333333
15,David,27.35427534588342,Male,200.0,30.0,2023-02-15,,15.0,0.15
16,Bob,30.0,Female,100.0,30.0,,Grocery,20.0,0.3
17,David,35.0,Female,400.0,24.992101105845183,,Furniture,20.0,0.062480252764612956
18,Eve,27.35427534588342,Male,300.0,40.0,2023-01-01,Electronics,,0.13333333333333333
19,Alice,35.0,Female,300.0,24.992101105845183,2023-01-01,,,0.08330700368615061
20,David,20.0,Other,400.0,24.992101105845183,2023-02-15,Grocery,5.0,0.062480252764612956
21,Bob,35.0,Female,100.0,40.0,2023-01-01,,10.0,0.4
22,Eve,25.0,Male,300.0,30.0,2023-01-01,Grocery,5.0,0.1
23,David,25.0,Other,100.0,40.0,,Electronics,,0.4
24,Alice,27.35427534588342,Female,300.0,10.0,2023-02-15,,,0.03333333333333333
25,Alice,35.0,Other,248.95738893925656,24.992101105845183,,,,0.10038706307264107
26,Charlie,27.35427534588342,Male,300.0,24.992101105845183,,Clothing,5.0,0.08330700368615061
27,Charlie,30.0,Female,248.95738893925656,40.0,,Furniture,20.0,0.16067006554989074
28,Bob,25.0,Other,100.0,24.992101105845183,2023-01-01,,10.0,0.24992101105845183
29,David,27.35427534588342,Other,300.0,30.0,2023-01-01,Grocery,10.0,0.1
30,David,30.0,Female,200.0,24.992101105845183,,Furniture,,0.12496050552922591
31,Charlie,27.35427534588342,Other,200.0,40.0,,Electronics,15.0,0.2
32,David,35.0,Other,400.0,30.0,,Furniture,5.0,0.075
33,David,35.0,Male,200.0,30.0,,Clothing,20.0,0.15
34,Alice,35.0,Male,248.95738893925656,24.992101105845183,2023-01-01,Electronics,,0.10038706307264107
35,Charlie,35.0,Male,200.0,40.0,2023-02-15,,15.0,0.2
36,Eve,20.0,Male,200.0,24.992101105845183,2023-01-01,Electronics,,0.12496050552922591
37,Charlie,30.0,Male,200.0,10.0,,Electronics,15.0,0.05
38,Eve,30.0,Male,300.0,10.0,,Clothing,10.0,0.03333333333333333
39,Alice,35.0,Female,400.0,30.0,2023-02-15,Grocery,15.0,0.075
40,Bob,20.0,Male,100.0,24.992101105845183,,Electronics,10.0,0.24992101105845183
41,David,35.0,Other,400.0,10.0,2023-01-01,Grocery,10.0,0.025
42,Alice,20.0,Female,248.95738893925656,20.0,2023-02-15,Furniture,5.0,0.08033503277494537
43,David,35.0,Other,300.0,10.0,2023-02-15,Clothing,15.0,0.03333333333333333
44,Bob,25.0,Male,300.0,24.992101105845183,2023-01-01,,20.0,0.08330700368615061
45,Bob,25.0,Male,200.0,24.992101105845183,,Electronics,20.0,0.12496050552922591
46,Alice,27.35427534588342,Other,200.0,10.0,,Grocery,15.0,0.05
47,Bob,35.0,Other,248.95738893925656,24.992101105845183,,Electronics,5.0,0.10038706307264107
48,Eve,30.0,Other,300.0,24.992101105845183,2023-01-01,Clothing,20.0,0.08330700368615061
53,David,35.0,Female,100.0,30.0,,Furniture,10.0,0.3
54,Eve,25.0,Male,400.0,30.0,,Grocery,10.0,0.075
55,Charlie,27.35427534588342,Other,100.0,40.0,,,5.0,0.4
56,Alice,25.0,Male,248.95738893925656,10.0,,Electronics,10.0,0.040167516387472686
57,David,20.0,Other,100.0,20.0,,Clothing,10.0,0.2
58,Bob,25.0,Male,248.95738893925656,24.992101105845183,,,5.0,0.10038706307264107
59,David,35.0,Female,100.0,10.0,2023-02-15,,,0.1
61,Bob,25.0,Male,100.0,20.0,,Furniture,5.0,0.2
62,David,30.0,Other,248.95738893925656,20.0,,Clothing,5.0,0.08033503277494537
63,Eve,20.0,Male,100.0,20.0,2023-02-15,Electronics,15.0,0.2
64,Bob,27.35427534588342,Female,100.0,40.0,2023-01-01,,10.0,0.4
65,Bob,27.35427534588342,Female,100.0,10.0,2023-02-15,Furniture,,0.1
66,David,30.0,Male,248.95738893925656,24.992101105845183,,,15.0,0.10038706307264107
68,Bob,25.0,Other,400.0,20.0,2023-01-01,Grocery,10.0,0.05
69,David,30.0,Female,400.0,10.0,2023-02-15,Electronics,10.0,0.025
70,David,35.0,Female,248.95738893925656,20.0,,,10.0,0.08033503277494537
71,Alice,25.0,Male,200.0,20.0,2023-01-01,,20.0,0.1
72,Eve,25.0,Female,400.0,40.0,2023-01-01,Clothing,,0.1
73,Eve,25.0,Female,300.0,30.0,,,,0.1
74,Bob,35.0,Other,400.0,10.0,2023-02-15,Furniture,15.0,0.025
76,Bob,27.35427534588342,Other,248.95738893925656,10.0,2023-02-15,,10.0,0.040167516387472686
78,David,20.0,Other,300.0,40.0,2023-01-01,,15.0,0.13333333333333333
79,David,30.0,Male,300.0,24.992101105845183,,Electronics,,0.08330700368615061
80,David,27.35427534588342,Female,400.0,40.0,2023-02-15,Electronics,20.0,0.1
82,Alice,25.0,Male,248.95738893925656,24.992101105845183,,Electronics,20.0,0.10038706307264107
83,Eve,25.0,Female,248.95738893925656,30.0,2023-01-01,Grocery,20.0,0.12050254916241807
84,Eve,35.0,Female,248.95738893925656,20.0,2023-02-15,Clothing,,0.08033503277494537
85,Alice,20.0,Female,400.0,20.0,,,10.0,0.05
86,Alice,20.0,Other,200.0,24.992101105845183,2023-02-15,Grocery,20.0,0.12496050552922591
87,Alice,30.0,Male,400.0,30.0,2023-02-15,Electronics,15.0,0.075
88,Alice,35.0,Male,248.95738893925656,20.0,2023-02-15,Electronics,15.0,0.08033503277494537
89,David,20.0,Female,400.0,24.992101105845183,,Clothing,20.0,0.062480252764612956
91,Charlie,27.35427534588342,Male,100.0,10.0,2023-01-01,Grocery,20.0,0.1
92,Alice,25.0,Other,100.0,30.0,,,15.0,0.3
97,Eve,30.0,Male,400.0,10.0,,,5.0,0.025
98,Bob,25.0,Female,400.0,40.0,,Clothing,20.0,0.1
100,Alice,25.0,Other,400.0,24.992101105845183,,,10.0,0.062480252764612956
101,David,30.0,Other,100.0,20.0,2023-01-01,Furniture,20.0,0.2
102,Alice,30.0,Female,400.0,40.0,,Grocery,20.0,0.1
103,David,27.35427534588342,Male,100.0,30.0,,Grocery,20.0,0.3
104,Bob,30.0,Female,100.0,30.0,,Electronics,20.0,0.3
106,Eve,30.0,Male,300.0,20.0,,Grocery,10.0,0.06666666666666667
107,Charlie,25.0,Male,248.95738893925656,30.0,2023-01-01,Furniture,5.0,0.12050254916241807
109,Charlie,20.0,Other,300.0,10.0,2023-01-01,Furniture,5.0,0.03333333333333333
111,Alice,20.0,Female,400.0,30.0,,Furniture,,0.075
113,Eve,35.0,Other,300.0,40.0,2023-01-01,Furniture,,0.13333333333333333
115,Alice,35.0,Female,400.0,10.0,,Clothing,15.0,0.025
116,Eve,20.0,Female,400.0,10.0,2023-01-01,Clothing,10.0,0.025
117,Bob,27.35427534588342,Other,300.0,30.0,,Grocery,20.0,0.1
118,Charlie,25.0,Female,200.0,20.0,2023-02-15,Clothing,,0.1
119,Alice,35.0,Female,100.0,30.0,,Furniture,5.0,0.3
121,Bob,20.0,Male,200.0,40.0,2023-01-01,,10.0,0.2
122,David,27.35427534588342,Female,400.0,40.0,,Grocery,20.0,0.1
123,Eve,20.0,Female,300.0,40.0,2023-01-01,Furniture,,0.13333333333333333
124,Charlie,25.0,Other,200.0,40.0,2023-02-15,Furniture,5.0,0.2
125,Alice,27.35427534588342,Other,248.95738893925656,40.0,,Electronics,,0.16067006554989074
128,David,35.0,Female,400.0,20.0,,,5.0,0.05
129,Eve,25.0,Male,100.0,40.0,2023-02-15,Electronics,10.0,0.4
130,Eve,30.0,Male,248.95738893925656,24.992101105845183,,Furniture,10.0,0.10038706307264107
132,Eve,20.0,Other,200.0,24.992101105845183,2023-01-01,,,0.12496050552922591
133,David,25.0,Female,300.0,30.0,2023-01-01,Electronics,,0.1
134,Eve,25.0,Female,200.0,40.0,,Furniture,15.0,0.2
135,Charlie,20.0,Male,400.0,24.992101105845183,2023-01-01,,20.0,0.062480252764612956
137,David,35.0,Male,300.0,40.0,,Furniture,,0.13333333333333333
138,Bob,20.0,Male,400.0,30.0,2023-01-01,Furniture,,0.075
140,Eve,25.0,Other,400.0,20.0,2023-02-15,,20.0,0.05
141,Alice,20.0,Female,100.0,10.0,2023-01-01,Furniture,15.0,0.1
142,Eve,25.0,Other,400.0,10.0,,Electronics,10.0,0.025
145,David,35.0,Female,100.0,24.992101105845183,,Furniture,5.0,0.24992101105845183
146,David,35.0,Other,400.0,10.0,,Clothing,10.0,0.025
147,David,25.0,Female,248.95738893925656,10.0,2023-01-01,Grocery,5.0,0.040167516387472686
148,Charlie,20.0,Male,248.95738893925656,40.0,,,15.0,0.16067006554989074
149,Bob,30.0,Male,200.0,24.992101105845183,2023-02-15,Clothing,15.0,0.12496050552922591
150,David,35.0,Male,400.0,24.992101105845183,,Grocery,15.0,0.062480252764612956
151,Alice,35.0,Other,100.0,40.0,2023-02-15,Furniture,,0.4
152,Alice,30.0,Male,248.95738893925656,24.992101105845183,,Furniture,15.0,0.10038706307264107
153,Alice,25.0,Female,300.0,20.0,,Grocery,5.0,0.06666666666666667
154,Alice,20.0,Other,400.0,30.0,,,10.0,0.075
155,Charlie,25.0,Female,400.0,40.0,,Grocery,,0.1
157,David,35.0,Other,248.95738893925656,24.992101105845183,,Grocery,15.0,0.10038706307264107
158,Eve,27.35427534588342,Female,300.0,20.0,,Grocery,20.0,0.06666666666666667
159,Alice,35.0,Female,200.0,20.0,,Furniture,,0.1
160,Charlie,35.0,Other,100.0,30.0,2023-01-01,,15.0,0.3
162,Alice,27.35427534588342,Other,248.95738893925656,24.992101105845183,,Clothing,20.0,0.10038706307264107
163,Eve,25.0,Male,300.0,24.992101105845183,,Furniture,5.0,0.08330700368615061
164,Alice,27.35427534588342,Male,400.0,20.0,,Furniture,5.0,0.05
166,Bob,25.0,Female,400.0,24.992101105845183,2023-01-01,Clothing,20.0,0.062480252764612956
167,David,25.0,Female,200.0,10.0,,Grocery,10.0,0.05
168,Charlie,35.0,Female,200.0,40.0,,Clothing,20.0,0.2
